{'CALIB_RAW_DAC_START_I': 786432, 'CALIB_RAW_FILETYPE': 'CALIB_RAW_FILETYPE_LIMP', 'CALIB_RAW_DAC_A_INDEX': 2, 'CALIB_RAW_SERIAL': '20190606_02', 'CALIB_RAW_VERSION': '1.0'}
-2E1A5,-2E297,-2E1AE
-45CA2,-45B8D,-45ED8
-2E25C,-2E368,-2E24B
-45D4A,-45B9F,-45DAF
-2E0C8,-2E2C4,-2E2F5
-45F18,-45D35,-45D0A
-2E192,-2E0FE,-2E40E
-45B3B,-45D76,-45A8E
-2E236,-2E1F4,-2E09F
-459F4,-45B04,-45B39
-2E18F,-2E38D,-2E090
-45C8A,-45CCD,-45CA6
-2E17F,-2E10E,-2E133
-45B07,-45B16,-45BC9
-2E331,-2E18E,-2E145
-45C78,-45B58,-45B46
-2E001,-2DF53,-2E08A
-45B61,-45B9E,-45BF9
-2E1A9,-2E3A5,-2E213
-45DAF,-45AD7,-45B2D
-2E1A6,-2E093,-2E056
-45B0A,-45B00,-45A11
-2E1AE,-2E244,-2E2DB
-45D24,-45CAA,-45DAA
-2E3C6,-2E29C,-2E084
-45B70,-45C1C,-45D00
-2E045,-2E292,-2E2C7
-45D34,-45A22,-45C3E
-2E23A,-2E2DE,-2E2C6
-45B39,-45B68,-45BBA
-2E244,-2E2AC,-2E1CB
-45BED,-45B04,-45DD3
-2E21E,-2E147,-2E385
-45D15,-45BB3,-45CE2
-2E0AB,-2E001,-2E0BA
-45A90,-45C9A,-45BFC
-2E3C3,-2E288,-2E07A
-45CFC,-45C41,-45B1F
-2E01A,-2E0E6,-2E2AD
-45CDB,-45C18,-45C1B
-2E1B9,-2E07B,-2E083
-45CE7,-45AED,-45B85
-2E0B7,-2E2F4,-2E15A
-45B94,-45C14,-45C6A
-2E13F,-2E01D,-2E012
-45A69,-45AE7,-45AA3
-2E162,-2E0C7,-2E1E5
-45806,-45BA3,-45A62
-2DFDC,-2E073,-2DFC1
-45BB5,-459E1,-45A8D
-2E0BE,-2E0DE,-2DFA8
-45A0B,-45B5C,-45A56
-2E17F,-2E1B8,-2E02D
-45BA4,-45B26,-45CDD
-2E2D1,-2E1E3,-2E069
-45BED,-45C14,-45C1E
-2E1D9,-2E160,-2DF1A
-45C33,-45BE6,-45CA2
-2E1F3,-2E23E,-2E10B
-459E9,-45C8D,-45CD7
-2E10C,-2E2D8,-2E25F
-45BC7,-45B88,-45B22
-2E179,-2E15C,-2E2F3
-45B33,-45AA4,-45C4B
-2F3CC,-2F3D6,-2F470
-45CB5,-45D36,-45CFB
-2E34B,-2E3D1,-2E395
-45C36,-45DBD,-46031
-2E2C9,-2E263,-2E35B
-45B66,-45D72,-45E04
-2E33E,-2E29D,-2E397
-45E27,-45D34,-45D41
